,AIR_MOTOR,APPROVED_BY,CHS,CUST,DATE_DRAWN,DESCRIPTION,DIRNAME,DRAWING_NUMBER,DRAWN_BY,DWG_TYPE,ELEC_MOTOR,FA1,FA10,FA11,FA12,FA13,FA14,FA15,FA16,FA17,FA18,FA19,FA1_1,FA1_2,FA1_3,FA2,FA20,FA21,FA22,FA23,FA24,FA25,FA26,FA27,FA28,FA29,FA3,FA30,FA31,FA32,FA33,FA34,FA35,FA36,FA37,FA38,FA39,FA4,FA40,FA41,FA42,FA43,FA44,FA45,FA46,FA47,FA5,FA6,FA7,FA8,FA9,FNAME,FTYPE,F_AM_1,F_AM_10,F_AM_11,F_AM_12,F_AM_13,F_AM_14,F_AM_2,F_AM_3,F_AM_4,F_AM_5,F_AM_6,F_AM_7,F_AM_8,F_AM_9,F_CHS_1,F_CHS_10,F_CHS_11,F_CHS_12,F_CHS_13,F_CHS_14,F_CHS_15,F_CHS_2,F_CHS_3,F_CHS_4,F_CHS_5,F_CHS_6,F_CHS_7,F_CHS_8,F_CHS_9,F_EM_1,F_EM_2,F_EM_3,F_EM_4,F_EM_5,F_EM_6,F_EM_7,F_EM_8,F_EM_9,F_GHT_1,F_GHT_10,F_GHT_11,F_GHT_12,F_GHT_13,F_GHT_14,F_GHT_15,F_GHT_2,F_GHT_3,F_GHT_4,F_GHT_5,F_GHT_6,F_GHT_7,F_GHT_8,F_GHT_9,F_PNU_1,F_PNU_10,F_PNU_11,F_PNU_12,F_PNU_13,F_PNU_2,F_PNU_3,F_PNU_4,F_PNU_5,F_PNU_6,F_PNU_7,F_PNU_8,F_PNU_9,F_SC_1,F_SC_2,F_SC_3,GHT,LANG,OPERATOR_TYPE,PA1,PA10,PA11,PA12,PA13,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA21,PA22,PA23,PA24,PA25,PA26,PA27,PA28,PA29,PA3,PA30,PA31,PA32,PA33,PA34,PA35,PA36,PA37,PA4,PA5,PA6,PA7,PA8,PA9,PB_TYPE,PNEUMATIC,PUMP,REVISION,SELFCONTAINED,SHEET_SIZE,SP_OPT,INFOS,OSM_VERSION_ID
"searchable metadata
 (Can search in combination with any other attributes. These fields need added to all document libraries)",,Approved By,,Customer Name,Date Drawn,Description,,Drawing Number,Drawn By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poppet Block Type,,Hand Pump,Revision,,Sheet Size,Free text search,,
Option 1 ) Operator Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operator Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Option 2)  Power,Air Motor (Hydraulic),,Central Hydraulic Supply,,,,,,,,Electric Motor (Hydraulic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIR MOTOR (HYDRAULIC),,,,,,,,,,,,,,CENTRAL HYDRAULIC SUPPLY,,,,,,,,,,,,,,,ELECTRIC MOTOR (HYDRAULIC),,,,,,,,,GAS HYDRAULIC (TANKS),,,,,,,,,,,,,,,PNEUMATIC (NO TANKS),,,,,,,,,,,,,SELF_CONTAINED,,,GAS HYDRAULIC (TANKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Option 3) power options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUX QUICK DISCONNECTS:,POWER REGULATOR:,PRESSURE SWITCH:,,REMOTE MOUNTED ACTUATOR:,SHUTTLE IN POWER LINE:,SUB SEA:,POWER STORAGE TANK:,FILTER:,ACCUMULATOR:,,DOUBLE HOLDING VALVE:,EXTRA FILTER IN POWER LINE:,EXTRA FILTER IN PILOT LINE:,10 AND 40 MICRON FILTERS:,LUBRICANT INJECTOR (NORD):,PRESSURE INTENSIFIER:,FLOW REGULATING VALVES:,UNIDIRECTIONAL:,BI-DIRECTIONAL:,LUBRICATOR:,DRIP TANK:,PILOT ISOLATION VALVE:,INCL. CENTRAL HYD. SYSTEM:,PNEUMATIC PILOT OR SUPPLY:,AUXILLARY POWER CONNECTION:,PRESSURE REDUCING VALVES:,BY-PASS VALVE: ,RELIEF VALVE:,RUPTURE DISC:,FILTER / DRYER:,HAND PUMP RELIEFS:,,JOGGING FEATURE:,LEVELING CHECK:,NITROGEN POWER:,,,,,,,,,
Option 4) Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANUAL,LOW PRESSURE TRIP,SINGLE WAY PNEUMATIC,2 WAY PNEUMATIC,REGULATING,HEAT SENSING,2-WAY ELECTRIC,SINGLE WAY ELECTRIC,ELECTRIC FAILSAFE,SINGLE SOL 2WAY AND FAILSAFE,DOUBLE SOL 2WAY AND FAILSAFE,LINEBREAK,EMERGENCY SHUTDOWN,HIGH PRESSURE TRIP,ELECTRIC REMOTE 2 WAY ,SINGLE SOL 2WAY AND FAILSAFE,HYDRAULIC FAILSAFE,HEAT SENSING,HIGH PRESSURE TRIP,LOW PRESSURE TRIP,LINEBREAK,DOUBLE SOL 2WAY AND FAILSAFE,ELECTRIC FAILSAFE,EMERGENCY SHUTDOWN,2 WAY PNEUMATIC,MANUAL,2 WAY HYDRAULIC,SINGLE WAY ELECTRIC,REGULATING,2-WAY ELECTRIC,ELECTRIC FAILSAFE,DOUBLE SOL 2WAY AND FAILSAFE,EMERGENCY SHUTDOWN,LINEBREAK,HIGH PRESSURE TRIP,LOW PRESSURE TRIP,REGULATING,HEAT SENSING,MANUAL,LINEBREAK,DOUBLE SOL 2WAY AND FAILSAFE,STATION BYPASS,HEAT SENSING,SINGLE SOL 2WAY AND FAILSAFE,RIVER CROSSING,ELECTRIC REMOTE 1 WAY,ELECTRIC REMOTE 2 WAY,ELECTRIC FAILSAFE,EMERGENCY SHUTDOWN,HIGH PRESSURE TRIP,LOW PRESSURE TRIP,SINGLE WAY PNEUMATIC,2 WAY PNEUMATIC,MANUAL,LOW PRESSURE TRIP,SINGLE WAY PNEUMATIC,2 WAY PNEUMATIC,REGULATING,2-WAY ELECTRIC,SINGLE WAY ELECTRIC,SINGLE SOL 2WAY AND FAILSAFE,DOUBLE SOL 2WAY AND FAILSAFE,ELECTRIC FAILSAFE,EMERGENCY SHUTDOWN,LINEBREAK,HIGH PRESSURE TRIP,MANUAL,HIGH PRESSURE TRIP,LOW PRESSURE TRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Option 5) Function options,,,,,,,N/A,,,N/A,,"LOCKOUT:
(N=No, Y=Yes)","SEQUENCING:
(N=No, Y=Yes)","SINGLE PILOT SOURCE:
(N=No, Y=Yes)","FAIL OPEN:
(N=No, Y=Yes)","LOW TRIP POSITION:
(n=Close, y=open)","ESD VALVE:
(N=No, Y=Yes)","DUAL PILOT SOURCE:
(N=No, Y=Yes)","TEST VALVE:
(N=No, Y=Yes)","HIGH TRIP POSITION:
(n=Close, y=open)","SPECIFIC TRIP POINT:
(N=No, Y=Yes)","PILOT FILTER:
(N=No, Y=Yes)",,,,"LATCHING FEATURE:
(N=No, Y=Yes)","MANUAL TEST:
(N=No, Y=Yes)","DIFFERENTIAL TYPE ESD:
(N=No, Y=Yes)","ENERGIZE SOLENOIDS TO...
(n=Close, y=open)","SUCT AND DISCH. EQUAL:
(N=No, Y=Yes)","SUCT. HIGHER THAN DISCH:
(n=Close, y=open)","HIGH PRESSURE:
(N=No, Y=Yes)","ELECTRONIC LINEBREAK:
(N=No, Y=Yes)","FAIL CLOSE:
(N=No, Y=Yes)","DASHPOT:
(N=No, Y=Yes)","HEAT SENSING TRIP:
(N=No, Y=Yes)","LOW PRESSURE SOLENOID:
(N=No, Y=Yes)","PILOT ISOLATION VALVE:
(N=No, Y=Yes)","PILOT REGULATOR:
(N=No, Y=Yes)","DOUBLE HOLDING VALVE:
(N=No, Y=Yes)","SHUTTLE VALVE TO TANK:
(N=No, Y=Yes)","SHUTTLE VALVE TO CONTROL:
(N=No, Y=Yes)","PRESS SELECTOR MANIFOLD:
(N=No, Y=Yes)","PNEUMATIC LINEBREAK:
(N=No, Y=Yes)","SOLENOIDS:
(N=No, Y=Yes)","AIR RELAY VALVE:
(N=No, Y=Yes)","CLOSE__MA OR__PSI:
(N=No, Y=Yes)","HIGH PRESSURE SOLENOID:
(N=No, Y=Yes)","OPEN__MA OR__PSI:
(N=No, Y=Yes)","VALVE POSITIONER:
(N=No, Y=Yes)","CONTROLLER:
(N=No, Y=Yes)","PRESSURIZE TO...
(n=Close, y=open)","NO BLEED FEATURE:
(N=No, Y=Yes)","2-WAY SOLENOID:
(N=No, Y=Yes)","3-WAY SOLENOID:
(N=No, Y=Yes)","4-WAY SOLENOID:
(n=Close, y=open)","REDUNDANT SOLENOID:
(N=No, Y=Yes)","TRIGGER VALVE:
(N=No, Y=Yes)","MOMENTARY IMPULSE:
(n=Close, y=open)","PRESSURIZE PILOT TO...
(n=Close, y=open)","PILOT VALVE:
(N=No, Y=Yes)",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Option 6) If ""Lockout"" is selected as ""Yes""",,,,,,,,,,,,,,,,,,,,,,,"DIFFERENTIAL:
(N=No, Y=Yes)","MANUAL:
(N=No, Y=Yes)","PILOT:
(N=No, Y=Yes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Misc,,Approved By,,Customer Name,Date Drawn,Description,,Drawing Number,Drawn By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revision,,Sheet Size,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Functions using Option 5 (Function Options). 
Option 5 needs added to all specified option 4 groups (Functions)",,,,,,,,,,,,Electric Remote 1 Way,Electric Remote 1 Way,2 Way Pneumatic,Electric Failsafe,Low Pressure Trip,Electric Failsafe,High Pressure Trip,Low Pressure Trip,High Pressure Trip,High Pressure Trip,High Pressure Trip,,,,Electric Remote 1 Way,High Pressure Trip,High Pressure Trip,Electric Remote 1 Way,Station Bypass,Station Bypass,River Crossing,River Crossing,Electric Failsafe,Single Way Electric,Emergency Shutdown,Electric Remote 1 Way,Electric Remote 1 Way,Electric Remote 1 Way,Electric Remote 1 Way,High Pressure Trip,High Pressure Trip,Linebreak,River Crossing,2-Way Electric,High Pressure Trip,Regulating,Electric Remote 1 Way,Regulating,Regulating,Regulating,Single Way Pneumatic,Regulating,Single Way Electric,Single Way Electric,2-Way Electric,Electric Remote 1 Way,Electric Remote 1 Way,Electric Remote 1 Way,Single Way Pneumatic,Electric Remote 1 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
